id,Sector,Company,Worth(BUSD)
7468,Technology,Amazon,112.0
4605,Technology,Microsoft,90.0
7368,Finance and Investments,Berkshire Hathaway,84.0
3808,Fashion & Retail,LVMH,72.0
3213,Technology,Facebook,71.0
3734,Fashion & Retail,Zara,70.0
9259,Telecom,telecom,67.1
7159,Diversified,Koch Industries,60.0
7935,Diversified,Koch Industries,60.0
2736,Technology,software,58.5
6894,Media & Entertainment,Bloomberg LP,50.0
4144,Technology,Google,48.8
2391,Technology,Google,47.5
3266,Fashion & Retail,Walmart,46.4
2934,Fashion & Retail,Walmart,46.2
9572,Fashion & Retail,Walmart,46.0
7741,Technology,internet media,45.3
5965,Fashion & Retail,L'Oreal,42.2
6392,Energy,"petrochemicals, oil & gas",40.1
3933,Technology,e-commerce,39.0
4389,Gambling & Casinos,casinos,38.5
2313,Technology,Microsoft,38.4
9450,Diversified,diversified,34.9
7612,Real Estate,real estate,30.3
9293,Real Estate,real estate,30.3
2977,Real Estate,real estate,30.0
5316,Fashion & Retail,supermarkets,29.8
9123,Fashion & Retail,Nike,29.6
4229,Food and Beverage,beer,27.4
1613,Fashion & Retail,luxury goods,27.0
2835,Automotive,auto parts,25.3
1282,Automotive,"BMW, pharmaceuticals",25.0
2683,Media & Entertainment,media,25.0
9516,Food and Beverage,"candy, pet food",23.6
4560,Food and Beverage,"candy, pet food",23.6
8944,Finance and Investments,banking,23.5
2489,Food and Beverage,"Nutella, chocolates",23.0
5726,Food and Beverage,Red Bull,23.0
9977,Technology,Dell computers,22.7
1598,Telecom,"internet, telecom",22.7
7722,Diversified,diversified,22.6
6980,Automotive,BMW,22.0
8692,Real Estate,real estate,21.9
7771,Technology,"Microsoft, investments",21.7
7830,Fashion & Retail,eyeglasses,21.2
2077,Fashion & Retail,retail,20.9
1596,Finance and Investments,discount brokerage,20.3
1462,Fashion & Retail,"Aldi, Trader Joe's",20.2
6355,Diversified,diversified,20.2
6226,Manufacturing,home appliances,20.1
1731,Gambling & Casinos,casinos,20.1
5353,Diversified,diversified,20.0
8804,Finance and Investments,hedge funds,20.0
6673,Automotive,Tesla Motors,19.9
6610,Diversified,diversified,19.5
7653,Fashion & Retail,fashion retail,19.5
7971,Metals & Mining,"steel, transport",19.1
4890,Philanthropy/NGO,"Apple, Disney",18.8
8874,Technology,software services,18.8
5610,Metals & Mining,"steel, investments",18.7
4732,Diversified,Samsung,18.6
4008,Metals & Mining,steel,18.5
1339,Service,package delivery,18.2
7510,Energy,"gas, chemicals",18.0
1035,Food and Beverage,"drinks, real estate",17.9
3873,Construction & Engineering,construction,17.8
2607,Finance and Investments,hedge funds,17.7
4337,Manufacturing,sensors,17.5
5284,Metals & Mining,mining,17.4
8708,Technology,online games,17.4
8683,Finance and Investments,"banking, tobacco",17.4
6596,Metals & Mining,mining,17.3
9921,Finance and Investments,investments,16.8
5443,Fashion & Retail,H&M,16.8
1870,Manufacturing,"banking, tobacco",16.7
7621,Real Estate,real estate,16.7
7304,Real Estate,real estate,16.5
1194,Energy,oil,16.4
4532,Manufacturing,chemicals,16.4
1909,Real Estate,real estate,16.3
2163,Metals & Mining,mining,16.3
9937,Energy,"oil, gas",16.0
8005,Finance and Investments,money management,15.9
7802,Metals & Mining,metals,15.9
4469,Fashion & Retail,Walmart,15.9
2701,Food and Beverage,Heineken,15.8
1337,Technology,internet media,15.6
3747,Energy,"coal, fertilizers",15.5
5545,Real Estate,"investments, real estate",15.5
4816,Finance and Investments,banking,15.5
5889,Logistics,shipping,15.3
4360,Automotive,automobiles,15.3
9150,Energy,"oil, banking, telecom",15.1
6645,Media & Entertainment,"newspapers, TV network",15.0
8671,Diversified,diversified,14.9
2252,Diversified,"palm oil, shipping, property",14.8
1161,Food and Beverage,cheese,14.7
7840,Technology,software services,14.6
7890,Energy,"metals, energy",14.4
4183,Manufacturing,"cement, sugar, flour",14.1
6752,Energy,oil & gas,14.1
1845,Technology,Facebook,14.0
1867,Food and Beverage,beer,14.0
8248,Finance and Investments,hedge funds,14.0
4197,Manufacturing,fasteners,13.6
5338,Media & Entertainment,satellite TV,13.4
8759,Technology,Google,13.4
8472,Media & Entertainment,media,13.0
8007,Fashion & Retail,Chanel,13.0
7934,Fashion & Retail,Chanel,13.0
6409,Media & Entertainment,media,13.0
5871,Finance and Investments,investments,13.0
4397,Fashion & Retail,Estee Lauder,12.9
8231,Construction & Engineering,brakes,12.9
7607,Healthcare,pharmaceuticals,12.8
8549,Technology,software,12.7
9350,Finance and Investments,investments,12.6
2791,Technology,smartphones,12.5
3810,Manufacturing,packaging,12.5
8812,Metals & Mining,"steel, telecom, investments",12.5
2980,Media & Entertainment,media,12.3
4042,Real Estate,real estate,12.2
5848,Finance and Investments,banking,12.1
9183,Technology,internet search,12.0
2387,Food and Beverage,beer,12.0
3612,Healthcare,biotech,11.9
5312,Diversified,commodities,11.8
5339,Real Estate,real estate,11.8
2615,Fashion & Retail,drugstores,11.8
3806,Technology,software,11.7
6283,Metals & Mining,"mining, copper products",11.7
6015,Finance and Investments,"banks, real estate",11.6
7204,Food and Beverage,"Oyster sauce, real estate",11.6
3724,Fashion & Retail,home improvement stores,11.5
7206,Food and Beverage,"snacks, beverages",11.3
4800,Technology,security software,11.3
4354,Finance and Investments,video surveillance,11.2
8065,Finance and Investments,hedge funds,11.0
8337,Fashion & Retail,"retail, real estate",11.0
4074,Real Estate,real estate,10.8
3158,Diversified,"steel, investments",10.8
4840,Technology,e-commerce,10.8
9830,Finance and Investments,banking,10.7
9713,Metals & Mining,mining,10.7
7938,Technology,eBay,10.5
1025,Service,consulting,10.3
9521,Technology,software,10.2
1137,Finance and Investments,investments,10.1
7719,Technology,Facebook,10.1
4277,Real Estate,real estate,10.1
3431,Finance and Investments,"investments, retail",10.0
