SearchName,Nationality
Bill_Gates,U.S.
Warren_Buffett,U.S.
Bernard_Arnault,France
Mark_Zuckerberg,U.S.
Amancio_Ortega,Spain
Larry_Ellison,U.S.
Michael_Bloomberg,
Larry_Page,U.S.
Jim_Walton,U.S.
S._Robson_Walton,U.S.
Francoise_Bettencourt_Meyers,France
Mukesh_Ambani,India
Sheldon_Adelson,U.S.
Steve_Ballmer,U.S.
Hui_Ka_Yan,China
Phil_Knight,U.S.
Jorge_Paulo_Lemann,Brazil
Georg_Schaeffler,Germany
Susanne_Klatten,Germany
David_Thomson,
Jacqueline_Mars,
John_Mars,
Giovanni_Ferrero,Italy
Michael_Dell,U.S.
Serge_Dassault,
Yang_Huiyan,China
Thomas_Peterffy,Hungary
"Theo_Albrecht,_Jr.",Germany
Len_Blavatnik,
James_Simons,
Henry_Sy,China
Elon_Musk,South Africa
Hinduja_Family,
Tadashi_Yanai,Japan
Laurene_Powell_Jobs,U.S.
Azim_Premji,India
Lee_Kun-Hee,South Korea
Wang_Wei,
Leonid_Mikhelson,
Charoen_Sirivadhanabhakdi,Thailand
Pallonji_Mistry,Ireland
Ray_Dalio,U.S.
William_Ding,China
R._Budi_Hartono,
Gina_Rinehart,Australia
German_Larrea_Mota_Velasco,Mexico
Michael_Hartono,Indonesia
Thomas_&_Raymond_Kwok,
Vagit_Alekperov,
Donald_Bren,U.S.
Abigail_Johnson,
Vladimir_Potanin,
Lukas_Walton,U.S.
Charlene_De_Carvalho-Heineken,
Zhang_Zhidong,
David_&_Simon_Reuben,
Klaus-Michael_Kuehne,Germany
Li_Shufu,China
Mikhail_Fridman,Russia
Robert_Kuok,Malaysia
Emmanuel_Besnier,France
Shiv_Nadar,India
Viktor_Vekselberg,
Aliko_Dangote,Nigeria
Steve_Cohen,U.S.
Marcel_Herrmann_Telles,Brazil
Reinhold_Wuerth,Germany
Eric_Schmidt,U.S.
Jim_Kennedy,
Blair_Parry-Okeden,U.S.
Alain_Wertheimer,France
Gerard_Wertheimer,France
Heinz_Hermann_Thiele,Germany
Dilip_Shanghvi,India
Stephen_Schwarzman,U.S.
Lei_Jun,
Hans_Rausing,Sweden
Alisher_Usmanov,
Peter_Woo,China
Carlos_Alberto_Sicupira,Brazil
Seo_Jung-Jin,
Kumar_Birla,India
Alexander_Otto,
Stefano_Pessina,Italy
Udo_&_Harald_Tschira,
Lee_Man_Tat,
Xu_Shihui,China
Zhou_Hongyi,China
Gong_Hongjia,China
Michael_Otto,
David_Tepper,U.S.
Liu_Qiangdong,China
Robert_&_Philip_Ng,
Alberto_Bailleres_Gonzalez,Mexico
Uday_Kotak,
Pierre_Omidyar,France
Walter_P.J._Droege,
Eduardo_Saverin,Brazil
Radhakishan_Damani,
German_Khan,
Gautam_Adani,India
Pan_Zhengmin,
"Thomas_Frist,_Jr.",
Mikhail_Prokhorov,
Galen_Weston,England
Eyal_Ofer,Israel
Charles_Schwab,
Gianluigi_&_Rafaela_Aponte,
"Herbert_Kohler,_Jr.",
Harry_Triguboff,China
Yao_Zhenhua,China
Cyrus_Poonawalla,
James_Goodnight,U.S.
Giorgio_Armani,Italy
Savitri_Jindal,
James_Chambers,
James_Irving,
Melker_Schorling,Sweden
Johann_Graf,Austria
John_Malone,U.S.
Xavier_Niel,France
Carl_Cook,U.S.
Walter_Kwok,
George_Soros,Hungary
"Edward_Johnson,_Iii.",
Massimiliana_Landini_Aleotti,
George_Kaiser,U.S.
Patrick_Soon-Shiong,South Africa
Nicky_Oppenheimer,South Africa
Sun_Piaoyang,China
Wu_Yajun,China
Alexei_Kuzmichev,Russia
Stephen_Ross,
Pauline_Macmillan_Keinath,
Jay_Y._Lee,South Korea
Eli_Broad,U.S.
Iskander_Makhmudov,
Frederik_Paulsen,
Christy_Walton,
Ananda_Krishnan,Malaysia
Carrie_Perrodo,
Quek_Leng_Chan,
Wang_Wenxue,China
Eva_Gonda_De_Rivera,
Willi_&_Isolde_Liebherr,
Ricardo_Salinas_Pliego,Mexico
Suh_Kyung-Bae,
Pollyanna_Chu,
John_Fredriksen,Norway
Goh_Cheng_Liang,Singapore
Sri_Prakash_Lohia,India
Jorn_Rausing,Sweden
Johann_Rupert,
Jacques_Saade,
Wu_Shaoxun,
Sandra_Ortega_Mera,Spain
Michael_Platt,England
Chan_Laiwa,China
David_Green,
Hank_&_Doug_Meijer,
Dmitry_Rybolovlev,
Tsai_Eng-Meng,Taiwan
Andreas_Von_Bechtolsheim,
Oleg_Deripaska,
Ann_Walton_Kroenke,
Augusto_&_Giorgio_Perfetti,
Finn_Rausing,Sweden
Kirsten_Rausing,Sweden
Odd_Reitan,Norway
Aloys_Wobben,Germany
Wei_Jianjun,
Erivan_Haub,Germany
Suleiman_Kerimov,Russia
Pang_Kang,China
Kushal_Pal_Singh,India
Guenther_Fielmann,Germany
Daniel_Gilbert,
Akira_Mori,Japan
Maria-Elisabeth_Schaeffler-Thumann,
Richard_Kinder,U.S.
Robert_Kraft,U.S.
Bruno_Schroder,U.K.
Nusli_Wadia,
Benu_Gopal_Bangur,India
David_Cheriton,Canada
Whitney_Macmillan,
Dan_Olsson,Sweden
Abdulla_Bin_Ahmad_Al_Ghurair,
Maria_Asuncion_Aramburuzabala,Mexico
Wolfgang_Marguerre,
Pamela_Mars,
Valerie_Mars,U.S.
Kwon_Hyuk-Bin,
Lin_Yu-Ling,
Tom_&_Judy_Love,
Dennis_Washington,U.S.
Yao_Liangsong,
Zhang_Jindong,China
Juan_Francisco_Beckmann_Vidal,Mexico
John_Tu,China
Martin_Viessmann,Germany
Hansjoerg_Wyss,Switzerland
Jen-Hsun_Huang,Taiwan
Jerry_Jones,U.S.
Kwee_Family,
Lee_Shin_Cheng,Malaysia
Richard_Lefrak,U.S.
Shigenobu_Nagamori,Japan
Steven_Rales,U.S.
Friede_Springer,Germany
Shari_Arison,U.S.
Andrew_Currie,
Scott_Duncan,
Milane_Frantz,U.S.
Magdalena_Martullo-Blocher,Switzerland
Hiroshi_Mikitani,Japan
Gabe_Newell,U.S.
Randa_Williams,U.S.
Zhang_Bangxin,
Zhang_Shiping,China
Jean-Michel_Besnier,France
Michael_Herz,
Wolfgang_Herz,
Kjeld_Kirk_Kristiansen,Denmark
Sofie_Kirk_Kristiansen,
Thomas_Kirk_Kristiansen,
Lam_Wai_Ying,China
Margarita_Louis-Dreyfus,Russia
George_Roberts,
"Edward_Roski,_Jr.",U.S.
Mike_Adenuga,Nigeria
David_Filo,U.S.
Pansy_Ho,
Henry_Kravis,U.S.
Frits_Goldschmeding,
Bruce_Kovner,U.S.
George_Lucas,U.S.
Elisabeth_Mohn,Germany
"Robert_Rich,_Jr.",U.S.
Wang_Chuanfu,China
Pyotr_Aven,Russia
Bernard_Marcus,U.S.
Pedro_Moreira_Salles,
Ronda_Stryker,U.S.
Law_Kar_Po,
Joe_Lewis,
Gabriella_Meister,
Fernando_Roberto_Moreira_Salles,
Joao_Moreira_Salles,
Walther_Moreira_Salles_Junior,
Vichai_Srivaddhanaprabha,Thailand
M.A._Yusuff_Ali,
Robert_Bass,U.S.
Martin_&_Olivier_Bouygues,
Chung_Mong-Koo,
Charles_Dolan,U.S.
Ray_Lee_Hunt,U.S.
John_Overdeck,U.S.
Ajay_Piramal,
