id,name
3705,Anant Asavabhokhin & Family
9321,Arash Ferdowsi
4524,Banthoon Lamsam & Family
4810,Bill Adderley & Family
2336,Boris Zingarevich
1480,Bryan Sheffield
8634,Charles Butt & Family
5228,Charles Cadogan & Family
8701,Chatri Sophonpanich & Family
3161,Daniel Ek
8306,Daniel Hirschfeld
9225,Daniel Tsai & Family
2481,Dieter Schaub
7590,Dik Wessels
2434,Dong Fan
3581,Elisabeth Badinter & Family
1279,Frederic Luddy
5656,Gao Dekang & Family
9881,Hajime Satomi
9812,Heinrich Deichmann & Family
8797,Hiroshi Okura & Family
8824,Husain Djojonegoro & Family
4908,Ivan Savvidis
1475,Jacques Merceron-Vicat & Family
3443,James Duff
4906,Jean Burelle
9546,Jim Koch
2449,John Armitage
2300,Jonathan Harmsworth
1554,Laurent Burelle
6192,Lee Hwa-Kyung
5350,Liu Dianbo
4223,Liu Gexin
4362,Loretta Robinson & Family
8258,Lu Feng
1196,Lucio And Susan Co
7007,Malvinder & Shivinder Singh
2727,Martin Lorentzon
4814,Mary & Douglas Perkins
9872,Onsi Sawiris
8362,Osathanugrah Family
5389,Philippe Laffont
8161,Phornthep Phornprapha & Family
5343,Pierre Castel & Family
7679,Ray Irani
2212,Shoji Uehara
1608,Steven Roth
1232,Supaluck Umpujh & Family
1370,Thomas Duff
4285,Zakhar Smushkin
7355,Zhang Zhongneng & Family
4086,Zhu Yicai
7468,Jeff Bezos
4605,Bill Gates
7368,Warren Buffett
3808,Bernard Arnault
3213,Mark Zuckerberg
3734,Amancio Ortega
9259,Carlos Slim Helu
7159,Charles Koch
7935,David Koch
2736,Larry Ellison
6894,Michael Bloomberg
4144,Larry Page
2391,Sergey Brin
3266,Jim Walton
2934,S. Robson Walton
9572,Alice Walton
7741,Ma Huateng
5965,Francoise Bettencourt Meyers
6392,Mukesh Ambani
3933,Jack Ma
4389,Sheldon Adelson
2313,Steve Ballmer
9450,Li Ka-Shing
7612,Hui Ka Yan
9293,Lee Shau Kee
2977,Wang Jianlin
5316,Beate Heister & Karl Albrecht Jr.
9123,Phil Knight
4229,Jorge Paulo Lemann
1613,Francois Pinault
2835,Georg Schaeffler
1282,Susanne Klatten
2683,David Thomson
4560,Jacqueline Mars
9516,John Mars
8944,Joseph Safra
2489,Giovanni Ferrero
5726,Dietrich Mateschitz
9977,Michael Dell
1598,Masayoshi Son
7722,Serge Dassault
6980,Stefan Quandt
8692,Yang Huiyan
7771,Paul Allen
7830,Leonardo Del Vecchio
2077,Dieter Schwarz
1596,Thomas Peterffy
1462,"Theo Albrecht, Jr."
6355,Len Blavatnik
6226,He Xiangjian
1731,Lui Che Woo
8804,James Simons
5353,Henry Sy
6673,Elon Musk
6610,Hinduja Family
7653,Tadashi Yanai
7971,Vladimir Lisin
4890,Laurene Powell Jobs
8874,Azim Premji
5610,Alexey Mordashov
